  1    0.000000000000000e+00    3.141592653589793e+00
  1    0.000000000000000e+00    1.570796326794897e+00
  2    1.570796326794897e+00    3.141592653589793e+00
  1    0.000000000000000e+00    7.853981633974483e-01
  2    7.853981633974483e-01    1.570796326794897e+00
  1    1.570796326794897e+00    2.356194490192345e+00
  2    2.356194490192345e+00    3.141592653589793e+00
  1    0.000000000000000e+00    3.926990816987241e-01
  2    3.926990816987241e-01    7.853981633974483e-01
  1    7.853981633974483e-01    1.178097245096172e+00
  2    1.178097245096172e+00    1.570796326794897e+00
  1    1.570796326794897e+00    1.963495408493621e+00
  2    1.963495408493621e+00    2.356194490192345e+00
  1    2.356194490192345e+00    2.748893571891069e+00
  2    2.748893571891069e+00    3.141592653589793e+00
  1    0.000000000000000e+00    1.963495408493621e-01
  2    1.963495408493621e-01    3.926990816987241e-01
  1    3.926990816987241e-01    5.890486225480862e-01
  2    5.890486225480862e-01    7.853981633974483e-01
  1    7.853981633974483e-01    9.817477042468103e-01
  2    9.817477042468103e-01    1.178097245096172e+00
  1    1.178097245096172e+00    1.374446785945534e+00
  2    1.374446785945534e+00    1.570796326794897e+00
  1    1.570796326794897e+00    1.767145867644259e+00
  2    1.767145867644259e+00    1.963495408493621e+00
  1    1.963495408493621e+00    2.159844949342983e+00
  2    2.159844949342983e+00    2.356194490192345e+00
  1    2.356194490192345e+00    2.552544031041707e+00
  2    2.552544031041707e+00    2.748893571891069e+00
  1    2.748893571891069e+00    2.945243112740431e+00
  2    2.945243112740431e+00    3.141592653589793e+00
  1    0.000000000000000e+00    9.817477042468103e-02
  2    9.817477042468103e-02    1.963495408493621e-01
  1    1.963495408493621e-01    2.945243112740431e-01
  2    2.945243112740431e-01    3.926990816987241e-01
  1    3.926990816987241e-01    4.908738521234052e-01
  2    4.908738521234052e-01    5.890486225480862e-01
  1    5.890486225480862e-01    6.872233929727672e-01
  2    6.872233929727672e-01    7.853981633974483e-01
  1    7.853981633974483e-01    8.835729338221293e-01
  2    8.835729338221293e-01    9.817477042468103e-01
  1    9.817477042468103e-01    1.079922474671491e+00
  2    1.079922474671491e+00    1.178097245096172e+00
  1    1.178097245096172e+00    1.276272015520854e+00
  2    1.276272015520854e+00    1.374446785945535e+00
  1    1.374446785945534e+00    1.472621556370215e+00
  2    1.472621556370215e+00    1.570796326794897e+00
  1    1.570796326794897e+00    1.668971097219578e+00
  2    1.668971097219578e+00    1.767145867644259e+00
  1    1.767145867644259e+00    1.865320638068940e+00
  2    1.865320638068940e+00    1.963495408493621e+00
  1    1.963495408493621e+00    2.061670178918302e+00
  2    2.061670178918302e+00    2.159844949342983e+00
  1    2.159844949342983e+00    2.258019719767664e+00
  2    2.258019719767664e+00    2.356194490192345e+00
  1    2.356194490192345e+00    2.454369260617026e+00
  2    2.454369260617026e+00    2.552544031041707e+00
  1    2.552544031041707e+00    2.650718801466388e+00
  2    2.650718801466388e+00    2.748893571891069e+00
  1    2.748893571891069e+00    2.847068342315750e+00
  2    2.847068342315750e+00    2.945243112740431e+00
  1    2.945243112740431e+00    3.043417883165112e+00
  2    3.043417883165112e+00    3.141592653589793e+00
  1    0.000000000000000e+00    4.908738521234052e-02
  2    4.908738521234052e-02    9.817477042468103e-02
  1    9.817477042468103e-02    1.472621556370216e-01
  2    1.472621556370216e-01    1.963495408493621e-01
  1    1.963495408493621e-01    2.454369260617026e-01
  2    2.454369260617026e-01    2.945243112740431e-01
  1    2.945243112740431e-01    3.436116964863836e-01
  2    3.436116964863836e-01    3.926990816987241e-01
  1    3.926990816987241e-01    4.417864669110647e-01
  2    4.417864669110647e-01    4.908738521234052e-01
  1    4.908738521234052e-01    5.399612373357456e-01
  2    5.399612373357456e-01    5.890486225480862e-01
  1    5.890486225480862e-01    6.381360077604268e-01
  2    6.381360077604268e-01    6.872233929727674e-01
  1    6.872233929727672e-01    7.363107781851077e-01
  2    7.363107781851077e-01    7.853981633974483e-01
  1    7.853981633974483e-01    8.344855486097889e-01
  2    8.344855486097889e-01    8.835729338221294e-01
  1    8.835729338221293e-01    9.326603190344698e-01
  2    9.326603190344698e-01    9.817477042468103e-01
  1    9.817477042468103e-01    1.030835089459151e+00
  2    1.030835089459151e+00    1.079922474671491e+00
  1    1.079922474671491e+00    1.129009859883832e+00
  2    1.129009859883832e+00    1.178097245096172e+00
  1    1.178097245096172e+00    1.227184630308513e+00
  2    1.227184630308513e+00    1.276272015520854e+00
  1    1.276272015520854e+00    1.325359400733194e+00
  2    1.325359400733194e+00    1.374446785945535e+00
  1    1.374446785945534e+00    1.423534171157875e+00
  2    1.423534171157875e+00    1.472621556370215e+00
  1    1.472621556370215e+00    1.521708941582556e+00
  2    1.521708941582556e+00    1.570796326794897e+00
  1    1.570796326794897e+00    1.619883712007237e+00
  2    1.619883712007237e+00    1.668971097219578e+00
  1    1.668971097219578e+00    1.718058482431918e+00
  2    1.718058482431918e+00    1.767145867644259e+00
  1    1.767145867644259e+00    1.816233252856599e+00
  2    1.816233252856599e+00    1.865320638068940e+00
  1    1.865320638068940e+00    1.914408023281280e+00
  2    1.914408023281280e+00    1.963495408493621e+00
  1    1.963495408493621e+00    2.012582793705961e+00
  2    2.012582793705961e+00    2.061670178918302e+00
  1    2.061670178918302e+00    2.110757564130642e+00
  2    2.110757564130642e+00    2.159844949342983e+00
  1    2.159844949342983e+00    2.208932334555323e+00
  2    2.208932334555323e+00    2.258019719767663e+00
  1    2.258019719767664e+00    2.307107104980004e+00
  2    2.307107104980004e+00    2.356194490192345e+00
  1    2.356194490192345e+00    2.405281875404685e+00
  2    2.405281875404685e+00    2.454369260617026e+00
  1    2.454369260617026e+00    2.503456645829367e+00
  2    2.503456645829367e+00    2.552544031041707e+00
  1    2.552544031041707e+00    2.601631416254047e+00
  2    2.601631416254047e+00    2.650718801466388e+00
  1    2.650718801466388e+00    2.699806186678729e+00
  2    2.699806186678729e+00    2.748893571891069e+00
  1    2.748893571891069e+00    2.797980957103410e+00
  2    2.797980957103410e+00    2.847068342315750e+00
  1    2.847068342315750e+00    2.896155727528090e+00
  2    2.896155727528090e+00    2.945243112740431e+00
  1    2.945243112740431e+00    2.994330497952771e+00
  2    2.994330497952771e+00    3.043417883165112e+00
  1    3.043417883165112e+00    3.092505268377453e+00
  2    3.092505268377453e+00    3.141592653589793e+00
  1    0.000000000000000e+00    2.454369260617026e-02
  2    2.454369260617026e-02    4.908738521234052e-02
  1    4.908738521234052e-02    7.363107781851078e-02
  2    7.363107781851078e-02    9.817477042468103e-02
  1    9.817477042468103e-02    1.227184630308513e-01
  2    1.227184630308513e-01    1.472621556370216e-01
  1    1.472621556370216e-01    1.718058482431918e-01
  2    1.718058482431918e-01    1.963495408493621e-01
  1    1.963495408493621e-01    2.208932334555323e-01
  2    2.208932334555323e-01    2.454369260617026e-01
  1    2.454369260617026e-01    2.699806186678728e-01
  2    2.699806186678728e-01    2.945243112740431e-01
  1    2.945243112740431e-01    3.190680038802134e-01
  2    3.190680038802134e-01    3.436116964863837e-01
  1    3.436116964863836e-01    3.681553890925539e-01
  2    3.681553890925539e-01    3.926990816987241e-01
  1    3.926990816987241e-01    4.172427743048944e-01
  2    4.172427743048944e-01    4.417864669110647e-01
  1    4.417864669110647e-01    4.663301595172349e-01
  2    4.663301595172349e-01    4.908738521234052e-01
  1    4.908738521234052e-01    5.154175447295755e-01
  2    5.154175447295755e-01    5.399612373357456e-01
  1    5.399612373357456e-01    5.645049299419159e-01
  2    5.645049299419159e-01    5.890486225480862e-01
  1    5.890486225480862e-01    6.135923151542565e-01
  2    6.135923151542565e-01    6.381360077604268e-01
  1    6.381360077604268e-01    6.626797003665971e-01
  2    6.626797003665971e-01    6.872233929727674e-01
  1    6.872233929727672e-01    7.117670855789375e-01
  2    7.117670855789375e-01    7.363107781851077e-01
  1    7.363107781851077e-01    7.608544707912780e-01
  2    7.608544707912780e-01    7.853981633974483e-01
  1    7.853981633974483e-01    8.099418560036186e-01
  2    8.099418560036186e-01    8.344855486097889e-01
  1    8.344855486097889e-01    8.590292412159591e-01
  2    8.590292412159591e-01    8.835729338221294e-01
  1    8.835729338221293e-01    9.081166264282996e-01
  2    9.081166264282996e-01    9.326603190344698e-01
  1    9.326603190344698e-01    9.572040116406401e-01
  2    9.572040116406401e-01    9.817477042468103e-01
  1    9.817477042468103e-01    1.006291396852981e+00
  2    1.006291396852981e+00    1.030835089459151e+00
  1    1.030835089459151e+00    1.055378782065321e+00
