x0,V_x0,wall_time_s
-9.899999999999999911e-01,3.033634264250823165e+00,2.370002269744873047e-01
-9.800999999999999712e-01,2.791154792876544999e+00,1.259000062942505105e+00
-9.701999999999999513e-01,2.649249159754523131e+00,5.329999923706054688e-01
-9.603000000000000425e-01,2.547625817088584821e+00,2.910001277923583984e-01
-9.504000000000000226e-01,2.467489914825995889e+00,6.600000858306884766e-01
-9.405000000000000027e-01,2.400533076893316853e+00,6.749999523162841797e-01
-9.305999999999999828e-01,2.342360003148018954e+00,3.770000934600830078e-01
-9.206999999999999629e-01,2.290369676822781919e+00,3.929998874664307196e-01
-9.108000000000000540e-01,2.242899249109708837e+00,8.159999847412109375e-01
-9.009000000000000341e-01,2.198823686932431798e+00,4.570000171661376953e-01
-8.910000000000000142e-01,2.157348119344376869e+00,3.780000209808350164e-01
-8.810999999999999943e-01,2.117891423816586016e+00,3.619999885559082031e-01
-8.711999999999999744e-01,2.080016875165842105e+00,7.540001869201660156e-01
-8.612999999999999545e-01,2.043388771922078018e+00,2.200000286102294922e-01
-8.513999999999999346e-01,2.007744176759172827e+00,5.190000534057617188e-01
-8.415000000000000258e-01,1.972873897102862983e+00,5.659999847412109375e-01
-8.316000000000000059e-01,1.938609296261136095e+00,4.240000247955322266e-01
-8.216999999999999860e-01,1.904812924644103012e+00,6.300001144409179688e-01
-8.118000000000000771e-01,1.871371718836283948e+00,3.969998359680175781e-01
-8.019000000000000572e-01,1.838191970839772038e+00,6.239998340606689453e-01
-7.920000000000000373e-01,1.805195542538460929e+00,3.660001754760742188e-01
-7.821000000000000174e-01,1.772316975558090979e+00,5.599999427795410156e-01
-7.721999999999999975e-01,1.739501253714544005e+00,8.330001831054687500e-01
-7.622999999999999776e-01,1.706702049778713093e+00,6.559998989105224609e-01
-7.523999999999999577e-01,1.673880336224421894e+00,9.160001277923583984e-01
-7.425000000000000488e-01,1.641003136441274934e+00,4.410002231597899836e-01
-7.326000000000000290e-01,1.608043171852820974e+00,1.137000083923340066e+00
-7.227000000000000091e-01,1.574977312174882904e+00,2.870001792907714844e-01
-7.127999999999999892e-01,1.541786517068284068e+00,5.060000419616699219e-01
-7.029000000000000803e-01,1.508455201847151983e+00,5.050001144409179688e-01
-6.930000000000000604e-01,1.474970821493418072e+00,1.979999542236328125e-01
-6.831000000000000405e-01,1.441323521115555062e+00,3.159999847412108820e-01
-6.732000000000000206e-01,1.407505841247030043e+00,2.610001564025878906e-01
-6.633000000000000007e-01,1.373512465435682950e+00,3.970000743865966797e-01
-6.533999999999999808e-01,1.339340005752077012e+00,7.550001144409179688e-01
-6.434999999999999609e-01,1.304986817297399071e+00,2.160000801086426059e-01
-6.336000000000000520e-01,1.270452837594538975e+00,3.710000514984130859e-01
-6.237000000000000322e-01,1.235739440024901103e+00,1.719999313354491910e-01
-6.138000000000000123e-01,1.200849337799740013e+00,3.389999866485596258e-01
-6.039000000000001034e-01,1.165786435962206991e+00,6.519999504089355469e-01
-5.940000000000000835e-01,1.130555762109950901e+00,5.990002155303955078e-01
-5.841000000000000636e-01,1.095163374289334968e+00,5.579998493194580078e-01
-5.742000000000000437e-01,1.059616284382532081e+00,6.310000419616699219e-01
-5.643000000000000238e-01,1.023922388938758976e+00,4.830000400543212891e-01
-5.544000000000000039e-01,9.880904062559754397e-01,2.249999046325683871e-01
-5.444999999999999840e-01,9.521298201154106966e-01,4.400000572204589844e-01
-5.345999999999999641e-01,9.160508258672868109e-01,4.779999256134033203e-01
-5.247000000000000552e-01,8.798642829407492538e-01,1.410000324249268133e-01
-5.148000000000000353e-01,8.435816697074416393e-01,4.019999504089354914e-01
-5.049000000000000155e-01,8.072150415268650736e-01,2.829999923706055243e-01
-4.950000000000000511e-01,7.707768752196906270e-01,6.470000743865966797e-01
-4.851000000000000867e-01,7.342804967368368185e-01,2.680001258850098211e-01
-4.752000000000000668e-01,6.977393495568100512e-01,3.199999332427979071e-01
-4.653000000000000469e-01,6.611674253370585230e-01,3.709998130798339844e-01
-4.554000000000000270e-01,6.245791161677791692e-01,2.699999809265137274e-01
-4.455000000000000071e-01,5.879891839617885640e-01,5.169999599456787109e-01
-4.355999999999999872e-01,5.514127308022033214e-01,3.380000591278076172e-01
-4.257000000000000783e-01,5.148651715485856872e-01,4.910001754760742188e-01
-4.158000000000000584e-01,4.783622047234030172e-01,5.550000667572021484e-01
-4.059000000000000385e-01,4.419197867718482886e-01,1.410000324249268133e-01
-3.960000000000000187e-01,4.055541057424065787e-01,8.459999561309814453e-01
-3.860999999999999988e-01,3.692815557596024201e-01,1.296000003814697044e+00
-3.762000000000000899e-01,3.331187121247073946e-01,5.350000858306884766e-01
-3.663000000000000700e-01,2.970822988554910893e-01,1.840000152587890903e-01
-3.564000000000000501e-01,2.611891967463713105e-01,5.130000114440917969e-01
-3.465000000000000302e-01,2.254563716896172132e-01,5.999999046325683594e-01
-3.366000000000000103e-01,1.899008835331238987e-01,4.319999217987061102e-01
-3.267000000000001014e-01,1.545398552366815115e-01,8.900001049041748047e-01
-3.168000000000000815e-01,1.193904503037873932e-01,7.620000839233398438e-01
-3.069000000000000616e-01,8.446985036922666223e-02,9.399986267089843750e-02
-2.970000000000000417e-01,4.979523423560062306e-02,5.479998588562011719e-01
-2.871000000000000218e-01,1.538375485059617978e-02,3.780000209808350164e-01
-2.772000000000001130e-01,-1.874748106584845156e-02,3.680000305175781250e-01
-2.673000000000000931e-01,-5.258143425453976061e-02,2.300000190734863004e-01
-2.574000000000000732e-01,-8.610115369117860018e-02,3.459999561309813898e-01
-2.475000000000000533e-01,-1.192898679877417017e-01,7.500000000000000000e-01
-2.376000000000000334e-01,-1.521307209145897898e-01,5.119998455047607422e-01
-2.277000000000000135e-01,-1.846072191893788905e-01,5.269999504089355469e-01
-2.178000000000001046e-01,-2.167028501158972942e-01,7.769999504089355469e-01
-2.079000000000000847e-01,-2.484016360383075050e-01,5.850000381469726562e-01
-1.980000000000000648e-01,-2.796874580440508740e-01,2.940001487731934149e-01
-1.881000000000000449e-01,-3.105445378292405745e-01,3.849999904632567804e-01
-1.782000000000000250e-01,-3.409573402637814943e-01,2.739999294281005859e-01
-1.683000000000001162e-01,-3.709104745529260838e-01,3.440001010894774836e-01
-1.584000000000000963e-01,-4.003891766203456215e-01,4.740002155303955078e-01
-1.485000000000000764e-01,-4.293786298189751216e-01,4.509999752044677734e-01
-1.386000000000000565e-01,-4.578644454229913174e-01,4.590001106262207031e-01
-1.287000000000000366e-01,-4.858325630327420264e-01,1.720001697540282926e-01
-1.188000000000000167e-01,-5.132692699850394114e-01,1.189999580383301059e-01
-1.089000000000001078e-01,-5.401612023449638977e-01,3.830001354217528742e-01
-9.900000000000008793e-02,-5.664953815330016074e-01,6.510000228881835938e-01
-8.910000000000006803e-02,-5.922592143112471730e-01,3.989999294281005859e-01
-7.920000000000004814e-02,-6.174405104128336541e-01,3.050000667572020929e-01
-6.930000000000002824e-02,-6.420274960748909576e-01,4.700000286102294922e-01
-5.940000000000011937e-02,-6.660088271017013950e-01,5.280001163482666016e-01
-4.950000000000009948e-02,-6.893737166748558076e-01,4.009997844696044922e-01
-3.960000000000007958e-02,-7.121114851429407588e-01,2.850000858306884766e-01
-2.970000000000005969e-02,-7.342122656353370358e-01,3.680000305175781250e-01
-1.980000000000003979e-02,-7.556665517070603189e-01,4.649999141693115234e-01
-9.900000000000130917e-03,-7.764653236243006518e-01,3.280000686645507812e-01
-1.110223024625156540e-16,-7.966001062075005468e-01,0.000000000000000000e+00
9.899999999999908873e-03,-8.160627362997767698e-01,3.540000915527343750e-01
1.979999999999981775e-02,-8.348458564581002772e-01,4.240000247955322266e-01
2.969999999999983764e-02,-8.529424379959659186e-01,4.110000133514403742e-01
3.959999999999985754e-02,-8.703460302381120783e-01,3.099999427795410156e-01
4.949999999999987743e-02,-8.870507193792419587e-01,4.010000228881835938e-01
5.939999999999989733e-02,-9.030510188684515160e-01,5.909998416900634766e-01
6.929999999999991722e-02,-9.183423383922506567e-01,4.890000820159912109e-01
7.919999999999993712e-02,-9.329202948365419301e-01,3.480000495910645086e-01
8.909999999999995701e-02,-9.467811790110163273e-01,5.109999179840087891e-01
9.899999999999997691e-02,-9.599218442822171626e-01,7.020001411437988281e-01
1.088999999999999968e-01,-9.723397098741018985e-01,3.350000381469727118e-01
1.188000000000000167e-01,-9.840327636112695675e-01,1.119999885559082031e-01
1.286999999999998145e-01,-9.949995604708298247e-01,1.499998569488525113e-01
1.385999999999998344e-01,-1.005239238676115976e+00,4.300000667572020929e-01
1.484999999999998543e-01,-1.014751499042257032e+00,4.079999923706055243e-01
1.583999999999998742e-01,-1.023536619845389017e+00,3.980000019073485773e-01
1.682999999999998941e-01,-1.031595453157851949e+00,3.859999179840087891e-01
1.781999999999999140e-01,-1.038929540070943958e+00,3.939998149871826172e-01
1.880999999999999339e-01,-1.045540645711555916e+00,3.570001125335692804e-01
1.979999999999999538e-01,-1.051431453921354064e+00,2.300000190734863004e-01
2.078999999999999737e-01,-1.056605100146859044e+00,6.009998321533203125e-01
2.177999999999999936e-01,-1.061065285438010930e+00,7.269999980926513672e-01
2.276999999999997915e-01,-1.064816388935351021e+00,5.799999237060546875e-01
2.375999999999998114e-01,-1.067863000956948971e+00,3.200001716613770086e-01
2.474999999999998312e-01,-1.070210614157552920e+00,5.520000457763671875e-01
