x,y
-1,-3
-0.995,-2.5309632746999942
-0.98999999999999999,-2.083508390399996
-0.98499999999999999,-1.6571232020999913
-0.97999999999999998,-1.2513020928000032
-0.97499999999999998,-0.86554593750000186
-0.96999999999999997,-0.4993620671999861
-0.96499999999999997,-0.15226423289999436
-0.95999999999999996,0.17622743040000488
-0.95499999999999996,0.48658643969999571
-0.94999999999999996,0.77927999999999686
-0.94499999999999995,1.0547690402999932
-0.93999999999999995,1.3135082495999963
-0.93500000000000005,1.5559461129000018
-0.92999999999999994,1.7825249472000091
-0.92500000000000004,1.9936809375000069
-0.92000000000000004,2.1898441727999973
-0.91500000000000004,2.3714386820999902
-0.91000000000000003,2.5388824703999964
-0.90500000000000003,2.6925875546999958
-0.90000000000000002,2.832960000000007
-0.89500000000000002,2.9603999553000069
-0.89000000000000001,3.0753016896000052
-0.88500000000000001,3.1780536278999936
-0.88,3.2690383871999957
-0.875,3.3486328125
-0.87,3.4172080128000051
-0.86499999999999999,3.4751293970999981
-0.85999999999999999,3.522756710399999
-0.85499999999999998,3.5604440697000008
-0.84999999999999998,3.5885400000000027
-0.84499999999999997,3.6073874702999968
-0.83999999999999997,3.6173239295999995
-0.83499999999999996,3.6186813428999978
-0.82999999999999996,3.611786227200005
-0.82499999999999996,3.5969596875000045
-0.82000000000000006,3.5745174527999937
-0.81499999999999995,3.5447699121000014
-0.81000000000000005,3.5080221503999982
-0.80499999999999994,3.464573984700003
-0.80000000000000004,3.4147200000000013
-0.79500000000000004,3.3587495853000018
-0.79000000000000004,3.2969469696000009
-0.78500000000000003,3.2295912579000019
-0.78000000000000003,3.1569564671999921
-0.77500000000000002,3.0793115624999987
-0.77000000000000002,2.9969204928000015
-0.76500000000000001,2.9100422270999973
-0.76000000000000001,2.8189307904000085
-0.755,2.7238352997000019
-0.75,2.625
-0.745,2.5226643003000038
-0.73999999999999999,2.4170628095999964
-0.73499999999999999,2.3084253729000013
-0.72999999999999998,2.1969771071999999
-0.72499999999999998,2.0829384374999957
-0.71999999999999997,1.9665251328000055
-0.71500000000000008,1.8479483421000014
-0.70999999999999996,1.7274146304000042
-0.70500000000000007,1.6051260147000042
-0.69999999999999996,1.4812799999999959
-0.69500000000000006,1.3560696153000036
-0.68999999999999995,1.229683449600004
-0.68500000000000005,1.1023056878999986
-0.67999999999999994,0.97411614720000372
-0.67500000000000004,0.84529031250000308
-0.66999999999999993,0.71599937279999715
-0.66500000000000004,0.58641025709999761
-0.65999999999999992,0.45668567039999886
-0.65500000000000003,0.3269841297000009
-0.65000000000000002,0.19746000000000308
-0.64500000000000002,0.068263530299999431
-0.64000000000000001,-0.060459110399996518
-0.63500000000000001,-0.18856579710000254
-0.63,-0.31591841280000121
-0.625,-0.4423828125
-0.62,-0.56782878720000074
-0.61499999999999999,-0.69213002790000644
-0.60999999999999999,-0.81516408960000142
-0.60499999999999998,-0.93681235530000162
-0.59999999999999998,-1.0569599999999979
-0.59499999999999997,-1.1754959546999983
-0.59000000000000008,-1.2923128703999982
-0.58499999999999996,-1.4073070821000009
-0.58000000000000007,-1.5203785727999994
-0.57499999999999996,-1.6314309375000038
-0.57000000000000006,-1.7403713472000018
-0.56499999999999995,-1.8471105129000023
-0.56000000000000005,-1.9515626495999996
-0.55499999999999994,-2.0536454403000013
-0.55000000000000004,-2.153279999999997
-0.54499999999999993,-2.2503908397000014
-0.54000000000000004,-2.3449058303999979
-0.53499999999999992,-2.4367561671000035
-0.53000000000000003,-2.5258763327999993
-0.52500000000000002,-2.6122040624999987
-0.52000000000000002,-2.6956803071999977
-0.51500000000000001,-2.7762491979000004
-0.51000000000000001,-2.8538580096000024
-0.505,-2.9284571252999996
-0.5,-3
-0.495,-3.0684431247000004
-0.48999999999999999,-3.1337459904000018
-0.48499999999999999,-3.1958710520999984
-0.47999999999999998,-3.2547836927999994
-0.47499999999999998,-3.3104521875000019
-0.46999999999999997,-3.3628476672000005
-0.46499999999999997,-3.411944082899999
-0.45999999999999996,-3.4577181695999997
-0.45499999999999996,-3.5001494103000006
-0.44999999999999996,-3.5392200000000034
-0.44499999999999995,-3.5749148096999996
-0.43999999999999995,-3.6072213504000006
-0.43500000000000005,-3.6361297370999996
-0.43000000000000005,-3.6616326528000016
-0.42500000000000004,-3.6837253124999987
-0.42000000000000004,-3.7024054271999991
-0.41500000000000004,-3.7176731678999992
-0.41000000000000003,-3.7295311296000007
-0.40500000000000003,-3.7379842953000004
-0.40000000000000002,-3.7430399999999988
-0.39500000000000002,-3.744707894699999
-0.39000000000000001,-3.7429999104000027
-0.38500000000000001,-3.7379302220999993
-0.38,-3.7295152127999986
-0.375,-3.7177734375
-0.37,-3.7027255872000024
-0.36499999999999999,-3.6843944528999995
-0.35999999999999999,-3.6628048895999985
-0.35499999999999998,-3.6379837802999995
-0.34999999999999998,-3.6099600000000009
-0.34499999999999997,-3.5787643796999995
